Route,Date of Journey,Departure Time,Departure Station,Arrival Destination,Arrival Time,Actual Arrival Time,Journey Status,Reason for Delay,Delay in Minutes,Trip ID,Day Type
Liverpool Lime Street to Sheffield,3/17/2024,5:00:00,Liverpool Lime Street,Sheffield,6:15:00,6:15:00,On Time,No delay,0,12521,Weekend
London Paddington to Reading,3/17/2024,5:30:00,London Paddington,Reading,6:30:00,7:20:00,Delayed,Staff Shortage,50,12522,Weekend
Manchester Piccadilly to Liverpool Lime Street,3/17/2024,5:45:00,Manchester Piccadilly,Liverpool Lime Street,6:15:00,6:15:00,On Time,No delay,0,12523,Weekend
Liverpool Lime Street to Manchester Piccadilly,3/17/2024,6:00:00,Liverpool Lime Street,Manchester Piccadilly,6:30:00,6:30:00,On Time,No delay,0,12524,Weekend
Liverpool Lime Street to Manchester Piccadilly,3/18/2024,3:00:00,Liverpool Lime Street,Manchester Piccadilly,3:30:00,3:30:00,On Time,No delay,0,12525,Weekday
London Paddington to Reading,3/18/2024,3:15:00,London Paddington,Reading,4:15:00,4:15:00,On Time,No delay,0,12526,Weekday
London Paddington to Reading,3/17/2024,6:15:00,London Paddington,Reading,7:15:00,7:15:00,On Time,No delay,0,12527,Weekend
Reading to Oxford,3/17/2024,6:15:00,Reading,Oxford,6:40:00,6:40:00,On Time,No delay,0,12528,Weekend
York to Doncaster,3/17/2024,6:30:00,York,Doncaster,7:00:00,7:00:00,On Time,No delay,0,12529,Weekend
London Paddington to Reading,3/17/2024,6:45:00,London Paddington,Reading,7:45:00,7:45:00,On Time,No delay,0,12530,Weekend
London Kings Cross to York,3/17/2024,9:30:00,London Kings Cross,York,11:20:00,11:20:00,On Time,No delay,0,12531,Weekend
London Paddington to London Waterloo,3/17/2024,7:30:00,London Paddington,London Waterloo,9:00:00,9:00:00,On Time,No delay,0,12532,Weekend
Birmingham New Street to London St Pancras,3/18/2024,4:30:00,Birmingham New Street,London St Pancras,5:50:00,5:50:00,On Time,No delay,0,12533,Weekday
Manchester Piccadilly to Liverpool Lime Street,3/18/2024,4:45:00,Manchester Piccadilly,Liverpool Lime Street,5:15:00,5:15:00,On Time,No delay,0,12534,Weekday
London Kings Cross to York,3/18/2024,4:45:00,London Kings Cross,York,6:35:00,6:35:00,On Time,No delay,0,12535,Weekday
Manchester Piccadilly to London Euston,3/17/2024,8:00:00,Manchester Piccadilly,London Euston,9:50:00,10:10:00,Delayed,Weather Conditions,20,12536,Weekend
London Paddington to Reading,3/17/2024,8:00:00,London Paddington,Reading,9:00:00,,Cancelled,Traffic,,12537,Weekend
London Kings Cross to York,3/18/2024,5:45:00,London Kings Cross,York,7:35:00,7:35:00,On Time,No delay,0,12538,Weekday
London Paddington to Reading,3/17/2024,7:45:00,London Paddington,Reading,8:45:00,8:45:00,On Time,No delay,0,12539,Weekend
London Kings Cross to Liverpool Lime Street,3/18/2024,5:45:00,London Kings Cross,Liverpool Lime Street,8:00:00,8:00:00,On Time,No delay,0,12540,Weekday
Manchester Piccadilly to Liverpool Lime Street,3/17/2024,8:45:00,Manchester Piccadilly,Liverpool Lime Street,9:15:00,9:15:00,On Time,No delay,0,12541,Weekend
Manchester Piccadilly to Liverpool Lime Street,3/17/2024,7:45:00,Manchester Piccadilly,Liverpool Lime Street,8:15:00,8:15:00,On Time,No delay,0,12542,Weekend
Manchester Piccadilly to Liverpool Lime Street,3/18/2024,6:00:00,Manchester Piccadilly,Liverpool Lime Street,6:30:00,6:30:00,On Time,No delay,0,12543,Weekday
Birmingham New Street to London St Pancras,3/17/2024,9:00:00,Birmingham New Street,London St Pancras,10:20:00,10:20:00,On Time,No delay,0,12544,Weekend
Liverpool Lime Street to Manchester Piccadilly,3/17/2024,9:15:00,Liverpool Lime Street,Manchester Piccadilly,9:45:00,9:45:00,On Time,No delay,0,12545,Weekend
Manchester Piccadilly to Liverpool Lime Street,3/18/2024,6:15:00,Manchester Piccadilly,Liverpool Lime Street,6:45:00,6:45:00,On Time,No delay,0,12546,Weekday
London Paddington to Reading,3/18/2024,6:15:00,London Paddington,Reading,7:15:00,7:15:00,On Time,No delay,0,12547,Weekday
London Paddington to Reading,3/17/2024,9:15:00,London Paddington,Reading,10:15:00,10:15:00,On Time,No delay,0,12548,Weekend
Manchester Piccadilly to Liverpool Lime Street,3/17/2024,9:15:00,Manchester Piccadilly,Liverpool Lime Street,9:45:00,9:50:00,Delayed,Weather Conditions,5,12549,Weekend
London Kings Cross to York,3/18/2024,6:15:00,London Kings Cross,York,8:05:00,8:36:00,Delayed,Technical Issue,31,12550,Weekday
London St Pancras to Birmingham New Street,3/18/2024,6:30:00,London St Pancras,Birmingham New Street,7:50:00,7:50:00,On Time,No delay,0,12551,Weekday
Birmingham New Street to London St Pancras,3/18/2024,6:30:00,Birmingham New Street,London St Pancras,7:50:00,,Cancelled,Staff Shortage,,12552,Weekday
London Paddington to Oxford,3/18/2024,7:45:00,London Paddington,Oxford,9:15:00,9:15:00,On Time,No delay,0,12553,Weekday
Liverpool Lime Street to Manchester Piccadilly,3/18/2024,6:45:00,Liverpool Lime Street,Manchester Piccadilly,7:15:00,7:15:00,On Time,No delay,0,12554,Weekday
Manchester Piccadilly to Liverpool Lime Street,3/18/2024,6:45:00,Manchester Piccadilly,Liverpool Lime Street,7:15:00,7:15:00,On Time,No delay,0,12555,Weekday
London St Pancras to Birmingham New Street,3/18/2024,6:45:00,London St Pancras,Birmingham New Street,8:05:00,8:05:00,On Time,No delay,0,12556,Weekday
London Paddington to Reading,3/18/2024,7:45:00,London Paddington,Reading,8:45:00,8:45:00,On Time,No delay,0,12557,Weekday
Birmingham New Street to London St Pancras,3/18/2024,7:00:00,Birmingham New Street,London St Pancras,8:20:00,8:20:00,On Time,No delay,0,12558,Weekday
London Paddington to Reading,3/18/2024,7:15:00,London Paddington,Reading,8:15:00,8:15:00,On Time,No delay,0,12559,Weekday
London Kings Cross to York,3/18/2024,7:30:00,London Kings Cross,York,9:20:00,9:20:00,On Time,No delay,0,12560,Weekday
York to Peterborough,3/18/2024,7:30:00,York,Peterborough,8:40:00,8:40:00,On Time,No delay,0,12561,Weekday
London Paddington to London Waterloo,3/18/2024,7:30:00,London Paddington,London Waterloo,9:00:00,9:00:00,On Time,No delay,0,12562,Weekday
Liverpool Lime Street to Manchester Piccadilly,3/18/2024,7:30:00,Liverpool Lime Street,Manchester Piccadilly,8:00:00,8:00:00,On Time,No delay,0,12563,Weekday
London Euston to Birmingham New Street,3/18/2024,7:30:00,London Euston,Birmingham New Street,8:50:00,8:50:00,On Time,No delay,0,12564,Weekday
Manchester Piccadilly to Liverpool Lime Street,3/17/2024,10:30:00,Manchester Piccadilly,Liverpool Lime Street,11:00:00,11:00:00,On Time,No delay,0,12565,Weekend
Liverpool Lime Street to London Euston,3/18/2024,8:00:00,Liverpool Lime Street,London Euston,10:15:00,11:03:00,Delayed,Weather Conditions,48,12566,Weekday
London Euston to Manchester Piccadilly,3/18/2024,8:00:00,London Euston,Manchester Piccadilly,9:50:00,9:50:00,On Time,No delay,0,12567,Weekday
Manchester Piccadilly to Liverpool Lime Street,3/17/2024,11:15:00,Manchester Piccadilly,Liverpool Lime Street,11:45:00,11:45:00,On Time,No delay,0,12568,Weekend
Manchester Piccadilly to Liverpool Lime Street,3/18/2024,8:15:00,Manchester Piccadilly,Liverpool Lime Street,8:45:00,8:45:00,On Time,No delay,0,12569,Weekday
London Kings Cross to York,3/17/2024,11:45:00,London Kings Cross,York,13:35:00,13:35:00,On Time,No delay,0,12570,Weekend
London Paddington to Reading,3/18/2024,8:45:00,London Paddington,Reading,9:45:00,9:45:00,On Time,No delay,0,12571,Weekday
Birmingham New Street to London St Pancras,3/18/2024,9:00:00,Birmingham New Street,London St Pancras,10:20:00,10:20:00,On Time,No delay,0,12572,Weekday
Manchester Piccadilly to Liverpool Lime Street,3/18/2024,9:15:00,Manchester Piccadilly,Liverpool Lime Street,9:45:00,9:45:00,On Time,No delay,0,12573,Weekday
London St Pancras to Birmingham New Street,3/18/2024,9:15:00,London St Pancras,Birmingham New Street,10:35:00,10:35:00,On Time,No delay,0,12574,Weekday
Manchester Piccadilly to Liverpool Lime Street,3/18/2024,10:00:00,Manchester Piccadilly,Liverpool Lime Street,10:30:00,10:30:00,On Time,No delay,0,12575,Weekday
London Euston to Birmingham New Street,3/17/2024,13:15:00,London Euston,Birmingham New Street,14:35:00,14:35:00,On Time,No delay,0,12576,Weekend
Liverpool Lime Street to Manchester Piccadilly,3/18/2024,11:15:00,Liverpool Lime Street,Manchester Piccadilly,11:45:00,12:20:00,Delayed,Technical Issue,35,12577,Weekday
Manchester Piccadilly to Liverpool Lime Street,3/18/2024,10:45:00,Manchester Piccadilly,Liverpool Lime Street,11:15:00,11:15:00,On Time,No delay,0,12578,Weekday
Liverpool Lime Street to Sheffield,3/17/2024,13:45:00,Liverpool Lime Street,Sheffield,15:00:00,15:00:00,On Time,No delay,0,12579,Weekend
Manchester Piccadilly to London Paddington,3/17/2024,13:45:00,Manchester Piccadilly,London Paddington,16:00:00,16:00:00,On Time,No delay,0,12580,Weekend
Liverpool Lime Street to Manchester Piccadilly,3/17/2024,13:45:00,Liverpool Lime Street,Manchester Piccadilly,14:15:00,14:15:00,On Time,No delay,0,12581,Weekend
Manchester Piccadilly to Sheffield,3/17/2024,13:45:00,Manchester Piccadilly,Sheffield,14:30:00,14:30:00,On Time,No delay,0,12582,Weekend
London Euston to Birmingham New Street,3/17/2024,14:15:00,London Euston,Birmingham New Street,15:35:00,15:35:00,On Time,No delay,0,12583,Weekend
London St Pancras to Birmingham New Street,3/17/2024,14:30:00,London St Pancras,Birmingham New Street,15:50:00,15:50:00,On Time,No delay,0,12584,Weekend
Manchester Piccadilly to Liverpool Lime Street,3/17/2024,14:45:00,Manchester Piccadilly,Liverpool Lime Street,15:15:00,15:15:00,On Time,No delay,0,12585,Weekend
London St Pancras to Birmingham New Street,3/18/2024,11:45:00,London St Pancras,Birmingham New Street,13:05:00,13:05:00,On Time,No delay,0,12586,Weekday
London Paddington to Reading,3/18/2024,11:45:00,London Paddington,Reading,12:45:00,12:45:00,On Time,No delay,0,12587,Weekday
London Kings Cross to York,3/18/2024,9:30:00,London Kings Cross,York,11:20:00,11:20:00,On Time,No delay,0,12588,Weekday
London St Pancras to Birmingham New Street,3/18/2024,12:00:00,London St Pancras,Birmingham New Street,13:20:00,13:20:00,On Time,No delay,0,12589,Weekday
London Paddington to Reading,3/17/2024,15:00:00,London Paddington,Reading,16:00:00,16:00:00,On Time,No delay,0,12590,Weekend
London St Pancras to Birmingham New Street,3/17/2024,15:15:00,London St Pancras,Birmingham New Street,16:35:00,16:35:00,On Time,No delay,0,12591,Weekend
Manchester Piccadilly to Liverpool Lime Street,3/18/2024,12:15:00,Manchester Piccadilly,Liverpool Lime Street,12:45:00,12:45:00,On Time,No delay,0,12592,Weekday
London St Pancras to Birmingham New Street,3/18/2024,12:30:00,London St Pancras,Birmingham New Street,13:50:00,13:50:00,On Time,No delay,0,12593,Weekday
Manchester Piccadilly to Liverpool Lime Street,3/18/2024,12:30:00,Manchester Piccadilly,Liverpool Lime Street,13:00:00,13:00:00,On Time,No delay,0,12594,Weekday
London Euston to Birmingham New Street,3/17/2024,15:30:00,London Euston,Birmingham New Street,16:50:00,16:50:00,On Time,No delay,0,12595,Weekend
Liverpool Lime Street to Manchester Piccadilly,3/18/2024,12:30:00,Liverpool Lime Street,Manchester Piccadilly,13:00:00,13:00:00,On Time,No delay,0,12596,Weekday
London Euston to Birmingham New Street,3/18/2024,12:30:00,London Euston,Birmingham New Street,13:50:00,13:50:00,On Time,No delay,0,12597,Weekday
London St Pancras to Birmingham New Street,3/17/2024,15:45:00,London St Pancras,Birmingham New Street,17:05:00,17:05:00,On Time,No delay,0,12598,Weekend
Liverpool Lime Street to Manchester Piccadilly,3/18/2024,12:45:00,Liverpool Lime Street,Manchester Piccadilly,13:15:00,13:15:00,On Time,No delay,0,12599,Weekday
London Paddington to Reading,3/18/2024,12:45:00,London Paddington,Reading,13:45:00,13:45:00,On Time,No delay,0,12600,Weekday
York to Edinburgh,3/18/2024,12:45:00,York,Edinburgh,15:15:00,15:15:00,On Time,No delay,0,12601,Weekday
Birmingham New Street to Manchester Piccadilly,3/17/2024,16:15:00,Birmingham New Street,Manchester Piccadilly,17:35:00,17:35:00,On Time,No delay,0,12602,Weekend
London Euston to Birmingham New Street,3/18/2024,13:15:00,London Euston,Birmingham New Street,14:35:00,14:35:00,On Time,No delay,0,12603,Weekday
Manchester Piccadilly to Liverpool Lime Street,3/18/2024,13:15:00,Manchester Piccadilly,Liverpool Lime Street,13:45:00,13:45:00,On Time,No delay,0,12604,Weekday
Liverpool Lime Street to London Euston,3/17/2024,15:30:00,Liverpool Lime Street,London Euston,17:45:00,18:14:00,Delayed,Staff Shortage,29,12605,Weekend
Manchester Piccadilly to Liverpool Lime Street,3/18/2024,13:30:00,Manchester Piccadilly,Liverpool Lime Street,14:00:00,,Cancelled,Signal Failure,,12606,Weekday
Liverpool Lime Street to Leeds,3/17/2024,16:30:00,Liverpool Lime Street,Leeds,18:00:00,18:00:00,On Time,No delay,0,12607,Weekend
London Kings Cross to York,3/17/2024,17:45:00,London Kings Cross,York,19:35:00,19:35:00,On Time,No delay,0,12608,Weekend
London St Pancras to Birmingham New Street,3/18/2024,14:00:00,London St Pancras,Birmingham New Street,15:20:00,15:20:00,On Time,No delay,0,12609,Weekday
London Paddington to Reading,3/18/2024,14:00:00,London Paddington,Reading,15:00:00,15:00:00,On Time,No delay,0,12610,Weekday
London Paddington to Reading,3/18/2024,14:15:00,London Paddington,Reading,15:15:00,15:15:00,On Time,No delay,0,12611,Weekday
London St Pancras to Birmingham New Street,3/18/2024,14:30:00,London St Pancras,Birmingham New Street,15:50:00,15:50:00,On Time,No delay,0,12612,Weekday
Manchester Piccadilly to Liverpool Lime Street,3/18/2024,14:30:00,Manchester Piccadilly,Liverpool Lime Street,15:00:00,15:00:00,On Time,No delay,0,12613,Weekday
Edinburgh Waverley to London Kings Cross,3/18/2024,15:30:00,Edinburgh Waverley,London Kings Cross,19:50:00,20:11:00,Delayed,Staff Shortage,21,12614,Weekday
London Kings Cross to York,3/18/2024,14:45:00,London Kings Cross,York,16:35:00,16:35:00,On Time,No delay,0,12615,Weekday
London Euston to Manchester Piccadilly,3/17/2024,18:00:00,London Euston,Manchester Piccadilly,19:50:00,19:50:00,On Time,No delay,0,12616,Weekend
London Paddington to Reading,3/18/2024,15:00:00,London Paddington,Reading,16:00:00,,Cancelled,Traffic,,12617,Weekday
London St Pancras to Birmingham New Street,3/17/2024,18:15:00,London St Pancras,Birmingham New Street,19:35:00,19:35:00,On Time,No delay,0,12618,Weekend
London Euston to Birmingham New Street,3/18/2024,15:45:00,London Euston,Birmingham New Street,17:05:00,17:05:00,On Time,No delay,0,12619,Weekday
Liverpool Lime Street to Crewe,3/17/2024,18:45:00,Liverpool Lime Street,Crewe,19:20:00,19:20:00,On Time,No delay,0,12620,Weekend
Birmingham New Street to Nuneaton,3/17/2024,18:45:00,Birmingham New Street,Nuneaton,19:05:00,19:05:00,On Time,No delay,0,12621,Weekend
Birmingham New Street to London Euston,3/17/2024,18:45:00,Birmingham New Street,London Euston,20:05:00,20:05:00,On Time,No delay,0,12622,Weekend
London Euston to Manchester Piccadilly,3/18/2024,14:45:00,London Euston,Manchester Piccadilly,16:35:00,,Cancelled,Traffic,,12623,Weekday
Birmingham New Street to Tamworth,3/17/2024,18:45:00,Birmingham New Street,Tamworth,19:05:00,19:05:00,On Time,No delay,0,12624,Weekend
York to Edinburgh,3/17/2024,19:00:00,York,Edinburgh,21:30:00,,Cancelled,Signal Failure,,12625,Weekend
Manchester Piccadilly to Liverpool Lime Street,3/18/2024,16:00:00,Manchester Piccadilly,Liverpool Lime Street,16:30:00,16:30:00,On Time,No delay,0,12626,Weekday
London Euston to Birmingham New Street,3/18/2024,16:00:00,London Euston,Birmingham New Street,17:20:00,17:20:00,On Time,No delay,0,12627,Weekday
London Kings Cross to York,3/18/2024,16:00:00,London Kings Cross,York,17:50:00,17:50:00,On Time,No delay,0,12628,Weekday
Manchester Piccadilly to Liverpool Lime Street,3/18/2024,16:15:00,Manchester Piccadilly,Liverpool Lime Street,16:45:00,16:45:00,On Time,No delay,0,12629,Weekday
Birmingham New Street to Manchester Piccadilly,3/18/2024,16:15:00,Birmingham New Street,Manchester Piccadilly,17:35:00,17:35:00,On Time,No delay,0,12630,Weekday
London Euston to Birmingham New Street,3/18/2024,16:15:00,London Euston,Birmingham New Street,17:35:00,17:35:00,On Time,No delay,0,12631,Weekday
Liverpool Lime Street to London Euston,3/18/2024,17:30:00,Liverpool Lime Street,London Euston,19:45:00,20:05:00,Delayed,Technical Issue,20,12632,Weekday
London Euston to Birmingham New Street,3/18/2024,16:30:00,London Euston,Birmingham New Street,17:50:00,17:50:00,On Time,No delay,0,12633,Weekday
London Paddington to Reading,3/17/2024,20:00:00,London Paddington,Reading,21:00:00,21:00:00,On Time,No delay,0,12634,Weekend
Liverpool Lime Street to Manchester Piccadilly,3/18/2024,17:15:00,Liverpool Lime Street,Manchester Piccadilly,17:45:00,17:45:00,On Time,No delay,0,12635,Weekday
Liverpool Lime Street to Manchester Piccadilly,3/17/2024,20:15:00,Liverpool Lime Street,Manchester Piccadilly,20:45:00,20:45:00,On Time,No delay,0,12636,Weekend
Manchester Piccadilly to Sheffield,3/17/2024,20:15:00,Manchester Piccadilly,Sheffield,21:00:00,21:00:00,On Time,No delay,0,12637,Weekend
London Paddington to Reading,3/17/2024,20:15:00,London Paddington,Reading,21:15:00,21:15:00,On Time,No delay,0,12638,Weekend
London Paddington to Reading,3/18/2024,17:15:00,London Paddington,Reading,18:15:00,18:15:00,On Time,No delay,0,12639,Weekday
London St Pancras to Birmingham New Street,3/17/2024,20:15:00,London St Pancras,Birmingham New Street,21:35:00,21:35:00,On Time,No delay,0,12640,Weekend
Liverpool Lime Street to Manchester Piccadilly,3/17/2024,20:30:00,Liverpool Lime Street,Manchester Piccadilly,21:00:00,21:00:00,On Time,No delay,0,12641,Weekend
Manchester Piccadilly to Liverpool Lime Street,3/18/2024,18:45:00,Manchester Piccadilly,Liverpool Lime Street,19:15:00,19:15:00,On Time,No delay,0,12642,Weekday
London St Pancras to Leicester,3/18/2024,18:45:00,London St Pancras,Leicester,19:45:00,19:45:00,On Time,No delay,0,12643,Weekday
London Euston to Birmingham New Street,3/18/2024,17:45:00,London Euston,Birmingham New Street,19:05:00,19:05:00,On Time,No delay,0,12644,Weekday
Manchester Piccadilly to Liverpool Lime Street,3/18/2024,17:45:00,Manchester Piccadilly,Liverpool Lime Street,18:15:00,18:54:00,Delayed,Staff Shortage,39,12645,Weekday
London Paddington to Reading,3/17/2024,21:30:00,London Paddington,Reading,22:30:00,22:30:00,On Time,No delay,0,12646,Weekend
Birmingham New Street to Liverpool Lime Street,3/18/2024,18:30:00,Birmingham New Street,Liverpool Lime Street,20:00:00,20:00:00,On Time,No delay,0,12647,Weekday
Liverpool Lime Street to Crewe,3/18/2024,18:45:00,Liverpool Lime Street,Crewe,19:20:00,19:20:00,On Time,No delay,0,12648,Weekday
London St Pancras to Birmingham New Street,3/18/2024,18:45:00,London St Pancras,Birmingham New Street,20:05:00,20:05:00,On Time,No delay,0,12649,Weekday
London Kings Cross to York,3/18/2024,17:45:00,London Kings Cross,York,19:35:00,19:35:00,On Time,No delay,0,12650,Weekday
London St Pancras to Wolverhampton,3/18/2024,18:45:00,London St Pancras,Wolverhampton,20:15:00,20:15:00,On Time,No delay,0,12651,Weekday
London Euston to Manchester Piccadilly,3/18/2024,18:45:00,London Euston,Manchester Piccadilly,20:35:00,20:35:00,On Time,No delay,0,12652,Weekday
London St Pancras to Birmingham New Street,3/18/2024,19:00:00,London St Pancras,Birmingham New Street,20:20:00,20:20:00,On Time,No delay,0,12653,Weekday
Liverpool Lime Street to Manchester Piccadilly,3/18/2024,20:00:00,Liverpool Lime Street,Manchester Piccadilly,20:30:00,20:30:00,On Time,No delay,0,12654,Weekday
Reading to Oxford,3/18/2024,20:30:00,Reading,Oxford,20:55:00,20:55:00,On Time,No delay,0,12655,Weekday
Liverpool Lime Street to Manchester Piccadilly,3/18/2024,0:00:00,Liverpool Lime Street,Manchester Piccadilly,0:30:00,0:30:00,On Time,No delay,0,12656,Weekday
Birmingham New Street to Liverpool Lime Street,3/18/2024,21:30:00,Birmingham New Street,Liverpool Lime Street,23:00:00,23:00:00,On Time,No delay,0,12657,Weekday
Liverpool Lime Street to Manchester Piccadilly,3/18/2024,21:30:00,Liverpool Lime Street,Manchester Piccadilly,22:00:00,22:00:00,On Time,No delay,0,12658,Weekday
Manchester Piccadilly to Liverpool Lime Street,3/18/2024,21:30:00,Manchester Piccadilly,Liverpool Lime Street,22:00:00,22:00:00,On Time,No delay,0,12659,Weekday
London Kings Cross to York,3/18/2024,1:00:00,London Kings Cross,York,2:50:00,2:50:00,On Time,No delay,0,12660,Weekday
London Euston to Birmingham New Street,3/18/2024,22:15:00,London Euston,Birmingham New Street,23:35:00,23:35:00,On Time,No delay,0,12661,Weekday
London Kings Cross to York,3/18/2024,22:15:00,London Kings Cross,York,0:05:00,0:05:00,On Time,No delay,0,12662,Weekday
London Euston to Birmingham New Street,3/18/2024,1:15:00,London Euston,Birmingham New Street,2:35:00,2:35:00,On Time,No delay,0,12663,Weekday
Manchester Piccadilly to Leeds,3/19/2024,22:30:00,Manchester Piccadilly,Leeds,23:15:00,23:15:00,On Time,No delay,0,12664,Weekday
Oxford to Bristol Temple Meads,3/19/2024,22:30:00,Oxford,Bristol Temple Meads,23:45:00,23:45:00,On Time,No delay,0,12665,Weekday
Liverpool Lime Street to Manchester Piccadilly,3/19/2024,22:30:00,Liverpool Lime Street,Manchester Piccadilly,23:00:00,23:00:00,On Time,No delay,0,12666,Weekday
London Kings Cross to Edinburgh Waverley,3/20/2024,16:00:00,London Kings Cross,Edinburgh Waverley,20:20:00,20:20:00,On Time,No delay,0,12667,Weekday
London Paddington to Reading,3/19/2024,22:45:00,London Paddington,Reading,23:45:00,23:45:00,On Time,No delay,0,12668,Weekday
London Paddington to Reading,3/18/2024,22:45:00,London Paddington,Reading,23:45:00,23:45:00,On Time,No delay,0,12669,Weekday
Manchester Piccadilly to London Paddington,3/18/2024,1:45:00,Manchester Piccadilly,London Paddington,4:00:00,4:00:00,On Time,No delay,0,12670,Weekday
Liverpool Lime Street to Manchester Piccadilly,3/18/2024,2:00:00,Liverpool Lime Street,Manchester Piccadilly,2:30:00,2:30:00,On Time,No delay,0,12671,Weekday
London St Pancras to Birmingham New Street,3/18/2024,2:00:00,London St Pancras,Birmingham New Street,3:20:00,3:20:00,On Time,No delay,0,12672,Weekday
Manchester Piccadilly to Nottingham,3/18/2024,2:00:00,Manchester Piccadilly,Nottingham,3:00:00,3:00:00,On Time,No delay,0,12673,Weekday
London Euston to Birmingham New Street,3/18/2024,2:15:00,London Euston,Birmingham New Street,3:35:00,3:35:00,On Time,No delay,0,12674,Weekday
Manchester Piccadilly to Liverpool Lime Street,3/18/2024,2:30:00,Manchester Piccadilly,Liverpool Lime Street,3:00:00,3:00:00,On Time,No delay,0,12675,Weekday
Manchester Piccadilly to London Paddington,3/19/2024,23:45:00,Manchester Piccadilly,London Paddington,2:00:00,2:00:00,On Time,No delay,0,12676,Weekday
London Paddington to Reading,3/18/2024,23:45:00,London Paddington,Reading,0:45:00,0:45:00,On Time,No delay,0,12677,Weekday
Liverpool Lime Street to Manchester Piccadilly,3/19/2024,0:00:00,Liverpool Lime Street,Manchester Piccadilly,0:30:00,0:30:00,On Time,No delay,0,12678,Weekday
Manchester Piccadilly to Liverpool Lime Street,3/19/2024,0:00:00,Manchester Piccadilly,Liverpool Lime Street,0:30:00,0:30:00,On Time,No delay,0,12679,Weekday
Birmingham New Street to London St Pancras,3/19/2024,0:15:00,Birmingham New Street,London St Pancras,1:35:00,1:35:00,On Time,No delay,0,12680,Weekday
Manchester Piccadilly to Liverpool Lime Street,3/18/2024,3:15:00,Manchester Piccadilly,Liverpool Lime Street,3:45:00,3:45:00,On Time,No delay,0,12681,Weekday
Liverpool Lime Street to Manchester Piccadilly,3/19/2024,0:30:00,Liverpool Lime Street,Manchester Piccadilly,1:00:00,1:00:00,On Time,No delay,0,12682,Weekday
London Kings Cross to York,3/19/2024,0:30:00,London Kings Cross,York,2:20:00,2:20:00,On Time,No delay,0,12683,Weekday
London Kings Cross to York,3/18/2024,3:45:00,London Kings Cross,York,5:35:00,5:35:00,On Time,No delay,0,12684,Weekday
London Euston to Birmingham New Street,3/18/2024,3:45:00,London Euston,Birmingham New Street,5:05:00,5:05:00,On Time,No delay,0,12685,Weekday
London Kings Cross to York,3/18/2024,4:00:00,London Kings Cross,York,5:50:00,5:50:00,On Time,No delay,0,12686,Weekday
London St Pancras to Birmingham New Street,3/18/2024,4:15:00,London St Pancras,Birmingham New Street,5:35:00,5:35:00,On Time,No delay,0,12687,Weekday
Liverpool Lime Street to Manchester Piccadilly,3/19/2024,1:30:00,Liverpool Lime Street,Manchester Piccadilly,2:00:00,2:00:00,On Time,No delay,0,12688,Weekday
London Paddington to Reading,3/19/2024,1:30:00,London Paddington,Reading,2:30:00,2:30:00,On Time,No delay,0,12689,Weekday
London St Pancras to Birmingham New Street,3/18/2024,4:30:00,London St Pancras,Birmingham New Street,5:50:00,5:50:00,On Time,No delay,0,12690,Weekday
Liverpool Lime Street to Manchester Piccadilly,3/19/2024,1:45:00,Liverpool Lime Street,Manchester Piccadilly,2:15:00,2:15:00,On Time,No delay,0,12691,Weekday
Manchester Piccadilly to Nottingham,3/19/2024,2:00:00,Manchester Piccadilly,Nottingham,3:00:00,3:00:00,On Time,No delay,0,12692,Weekday
Liverpool Lime Street to London Euston,3/18/2024,5:00:00,Liverpool Lime Street,London Euston,7:15:00,7:15:00,On Time,No delay,0,12693,Weekday
Liverpool Lime Street to Manchester Piccadilly,3/19/2024,2:15:00,Liverpool Lime Street,Manchester Piccadilly,2:45:00,2:45:00,On Time,No delay,0,12694,Weekday
London Euston to Birmingham New Street,3/19/2024,2:15:00,London Euston,Birmingham New Street,3:35:00,,Cancelled,Weather Conditions,,12695,Weekday
London Paddington to Reading,3/19/2024,2:15:00,London Paddington,Reading,3:15:00,3:15:00,On Time,No delay,0,12696,Weekday
London Kings Cross to York,3/18/2024,5:15:00,London Kings Cross,York,7:05:00,7:05:00,On Time,No delay,0,12697,Weekday
London Paddington to Reading,3/18/2024,5:15:00,London Paddington,Reading,6:15:00,6:15:00,On Time,No delay,0,12698,Weekday
Manchester Piccadilly to Liverpool Lime Street,3/18/2024,5:30:00,Manchester Piccadilly,Liverpool Lime Street,6:00:00,6:00:00,On Time,No delay,0,12699,Weekday
Manchester Piccadilly to Liverpool Lime Street,3/19/2024,2:30:00,Manchester Piccadilly,Liverpool Lime Street,3:00:00,,Cancelled,Traffic,,12700,Weekday
London Kings Cross to York,3/19/2024,3:00:00,London Kings Cross,York,4:50:00,4:50:00,On Time,No delay,0,12701,Weekday
London Euston to Birmingham New Street,3/18/2024,6:30:00,London Euston,Birmingham New Street,7:50:00,7:50:00,On Time,No delay,0,12702,Weekday
Reading to London Paddington,3/18/2024,6:30:00,Reading,London Paddington,6:55:00,6:55:00,On Time,No delay,0,12703,Weekday
London Kings Cross to York,3/18/2024,6:45:00,London Kings Cross,York,8:35:00,8:35:00,On Time,No delay,0,12704,Weekday
London Paddington to Reading,3/18/2024,7:00:00,London Paddington,Reading,8:00:00,8:00:00,On Time,No delay,0,12705,Weekday
Liverpool Lime Street to Manchester Piccadilly,3/18/2024,7:15:00,Liverpool Lime Street,Manchester Piccadilly,7:45:00,7:45:00,On Time,No delay,0,12706,Weekday
